seed,result,time (seconds)
1430,unsolvable,2625.345
1431,solved,0
1432,unsolvable,0.204
1433,unsolvable,703.681
1434,solved,306.885
1435,solved,0.001
1436,unsolvable,0.053
1437,unsolvable,0
1438,solved,0
1439,solved,0.002
1440,solved,0
1441,solved,0
1442,unsolvable,0.326
1443,unsolvable,5.984
1444,unsolvable,4.275
1445,solved,0
1446,solved,0.001
1447,solved,0
1448,solved,0.06
1449,solved,0.03
1450,solved,0.071
1451,solved,0.831
1452,solved,0.001
1453,unknown,3600
1454,solved,0
1455,solved,0.26
1456,solved,0
1457,unsolvable,0.019
1458,solved,0
1459,solved,0.001
1460,solved,0.189
1461,solved,0.03
1462,solved,0
1463,solved,0.032
1464,solved,0
1465,unsolvable,0.157
1466,unsolvable,965.84
1467,solved,2.501
1468,solved,0.155
1469,solved,0
1470,solved,2.918
1471,unsolvable,0.197
1472,solved,0.001
1473,unknown,3600
1474,unsolvable,0.025
1475,unsolvable,0.002
1476,solved,0.009
1477,solved,0.089
1478,solved,0
1479,solved,0.021
1480,unknown,3600
1481,solved,0.077
1482,solved,0.085
1483,solved,0
1484,solved,0
1485,solved,0
1486,solved,0
1487,solved,0.004
1488,solved,0.002
1489,unsolvable,1.773
1490,solved,0.899
1491,solved,0
1492,unknown,3600
1493,solved,0.007
1494,solved,0
1495,solved,0.14
1496,solved,0.005
1497,solved,0.002
1498,unknown,3600
1499,solved,10.437
1500,solved,0
1501,solved,0
1502,solved,0
1503,solved,161.712
1504,solved,0.01
1505,solved,0.023
1506,solved,0.007
1507,unsolvable,0
1508,solved,0.001
1509,unsolvable,857.301
1510,solved,0.032
1511,solved,0.002
1512,solved,0.013
1513,solved,0.006
1514,solved,2.11
1515,solved,0
1516,solved,0
1517,solved,0
1518,solved,0
1519,solved,0.612
1520,solved,0
1521,solved,0.04
1522,solved,0.044
1523,unsolvable,0
1524,solved,0
1525,solved,0
1526,unsolvable,0
1527,solved,0
1528,solved,0
1529,unsolvable,0
1530,solved,0
1531,solved,0
1532,solved,0.015
1533,unsolvable,0
1534,solved,0.002
1535,solved,0.002
1536,solved,3.359
1537,solved,8.178
1538,solved,0
